*	Formation38: Script
..	Company: Base
1.	Contract: Eligibility
2.	Brand: Requirement
3.	Asset: Manifestation
4.	Material: Compatibility
5.	Contact: Franchise
6.	Authority: Terminology
7.	Board: Feasibility
8.	Business: Delegation
9.	Policy: Return
10.	Member: Relation
11.	Capital: Case
12.	Patent: Condition
13.	Model: Estimation
14.	Architecture: Submission
15.	Design: System
16.	Blueprint: Distribution
17.	Establishment: Trade
18.	Licence: Conversation
19.	Judiciary: Permission
20.	Community: Delivery
21.	Project: Persistence
22.	Security: Constructive
23.	Source: Property
24.	Public: Commission
25.	Protect: Regular
26.	Private: Probe
::.	Signature: Placement